State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
NJ,New Jersey,State,11-07-1989,"Public question #1, bond to acquire land for conservation and recreation and to preserve farmland",Bond,,"Open space, farmland, recreation, watershed protection","$300,000,000","$230,000,000","$300,000,000","$230,000,000",yes,Pass,71.233583700302%,28.766416299698%,,yes
NJ,Cape May County,County,11-07-1989,1-cent per $100 property tax to preserve open space and agricultural lands,Property tax,,"Open space, farmland","$26,000,000","$26,000,000","$26,000,000","$26,000,000",yes,Pass,69.828732009266%,30.171267990734%,,yes
NJ,Somerset County,County,11-07-1989,1.5 cents tax for the Open Space Preservation Trust Fund,Property tax,,"Open space, watershed protection","$68,000,000","$68,000,000","$68,000,000","$68,000,000",yes,Pass,68.784054771213%,31.215945228787%,,yes
NJ,Mercer County,County,11-07-1989,1 cent per $100 property tax to establish an open space trust fund,Property tax,,Open space,"$69,420,220","$69,420,220","$69,420,220","$69,420,220",yes,Pass,59.963071455346%,40.036928544654%,,yes
NY,East Hampton,Municipal,11-07-1989,"Bond for open space, farmland and wetlands",Bond,,"Open space, farmland","$5,000,000","$5,000,000","$5,000,000","$5,000,000",yes,Pass,61.715677093089%,38.284322906911%,,yes
Ore,Tualatin Hills Park and Recreation District,Special District,11-07-1989,Park and Recreation bonds,Bond,,"Recreation, parks","$28,100,000","$3,000,000",,,no,Fail,48.471811110346%,51.528188889654%,,yes
PA,Chester County,County,11-07-1989,Bond for open space and farmland preservation,Bond,,"Open space, farmland","$50,000,000","$50,000,000","$50,000,000","$50,000,000",yes,Pass,80.0698334182%,19.9301665818%,,yes
RI,Rhode Island,State,11-07-1989,"Environmental Management Bond-bond for environmental emergencies and problems, acquisition of open space, parks, and Pawtuxet  River Watershed protection  ",Bond,,"Recreation, open space, watershed protection, farmland, parks","$74,500,000","$65,500,000","$74,500,000","$65,500,000",yes,Pass,64.170542355091%,35.829457644909%,,yes
WA,King County,County,11-07-1989,"Bond for green space, open space, parks and trail acquisition and improvement",Bond,,"Open space, parks, trails, greenways","$117,640,000","$117,640,000","$117,640,000","$117,640,000",yes,Pass,67.215621166228%,32.784378833772%,,yes
CT,Cheshire,Municipal,11-08-1989,"Bond for land acquisition of land for recreation, open space, conservation, educational and municipal purposes",Bond,,"Recreation, open space","$1,500,000","$1,000,000","$1,500,000","$1,000,000",yes,Pass,56.438356164384%,43.561643835616%,New Haven County,yes
CA,Irvine,Municipal,03-06-1990,Bond for formation of Mello-Roos District to build parks,Bond,,"Parks, recreation","$57,000,000","$20,000,000",,,no,Fail,24.051821254225%,75.948178745775%,,yes
CA,San Juan Capistrano,Municipal,04-10-1990,"Bond for the acquisiton of open space, parks, and farmland",Bond,,"Open space, farmland, parks","$21,000,000","$21,000,000","$21,000,000","$21,000,000",yes,Pass,71.176112126752%,28.823887873248%,"Orange County, 2/3rd required",yes
FL,Miami-Dade County,County,05-08-1990,2-year Property tax for environmental lands,Property tax,,Open space,"$90,000,000","$80,000,000","$90,000,000","$80,000,000",yes,Pass,53.55672312892%,46.44327687108%,,yes
NC,Kernersville,Municipal,05-08-1990,Bond for parks,Bond,,Parks,"$2,000,000","$800,000",,,no,Fail,27.865612648221%,72.134387351779%,Forsyth County,yes
CA,Los Angeles County,County,06-04-1990,Proposition B-Bond for recreational and cultural projects,Bond,,"Open space, parks, trails","$816,890,000","$20,000,000",,,no,Fail,56.650865478641%,43.349134521359%,2/3 vote required,yes
CA,California,State,06-05-1990,Initiative to provide $30 million annually for wildlife habitat protection and related purposes.  ,Other,"Initiative creates the Habitat Conservation Fund funded by bonds, the Environmental License Plate Fund, the Tobacco Tax Fund, Wildlife Restoration Fund, Endangered Species Income Tax Checkoff","Wildlife habitat, open space","$900,000,000","$900,000,000","$900,000,000","$900,000,000",yes,Pass,52.420542979233%,47.579457020767%,"Proposition 117, at least 10 percent of the Tobacco tax Fund must be used for this initiative. ",yes
FL,Brevard County,County,09-04-1990,Bonds for land acquisition,Bond,,"forests, trails, recreation","$55,000,000","$55,000,000","$55,000,000","$55,000,000",yes,Pass,60.99389736868%,39.00610263132%,,yes
FL,Hillsborough County,County,10-02-1990,Bonds for sensitive lands,Bond,,"Recreation, parks","$100,000,000","$100,000,000","$100,000,000","$100,000,000",yes,Pass,72.988471417478%,27.011528582522%,,yes
MN,Minnesota,State,11-01-1990,Lottery proceeds to Environmental Fund,Other,Lottery,Open space,"$124,350,000","$89,532,000","$124,350,000","$89,532,000",yes,Pass,80.801915815196%,19.198084184804%,,yes
NY,New York,State,11-01-1990,Twenty-First Century Environmental Quality Bond Act,Bond,,"Recreation, open space, watershed protection, parks","$1,975,000,000","$167,500,000",,,no,Fail,48.445919679218%,51.554080320782%,,yes
WA,Bellingham,Municipal,11-01-1990,"Property tax for $7,000,000 for open space",Property tax,,"Open space, watershed, parks, trails, greenways","$7,000,000","$7,000,000","$7,000,000","$7,000,000",yes,Pass,67.26112068092%,32.73887931908%,,yes
AZ,Arizona,State,11-06-1990,Lottery revenues to parks and open space,Other,Lottery,"Parks, open space, wildlife habitat, trails","$400,000,000","$400,000,000","$400,000,000","$400,000,000",yes,Pass,62.014162679426%,37.985837320574%,,yes
CA,San Diego Open Space Park Facilities District No. 1,Municipal,11-06-1990,Bond for the acquisition of open space and park facilities,Bond,,"Open space, parks","$100,000,000","$100,000,000",,,no,Fail,49.670585296551%,50.329414703449%,,yes
CA,Sonoma County,County,11-06-1990,"20-year, .25 percent sales tax to fund the preservation of agriculture and other open space lands",Sales tax,,"Open space, farmland","$271,000,000","$271,000,000","$271,000,000","$271,000,000",yes,Pass,55.115568478636%,44.884431521364%,,yes
CA,Oakland,Municipal,11-06-1990,"Measure K, Bond for open space acquisition, park and recreational facilities expansion",Bond,,"Open space, parks, recreation","$60,000,000","$23,200,000","$60,000,000","$23,200,000",yes,Pass,68.013476739666%,31.986523260334%,"Alameda County, 2/3rd req.",yes
CA,California,State,11-06-1990,"Proposition 128, Environmental Public Health Bond",Bond,,forests,"$340,000,000","$200,000,000",,,no,Fail,35.646549771959%,64.353450228041%,,yes
CA,California,State,11-06-1990,"Proposition # 149, bond for acquiring state and local park, beach, recreation, greenbelt, wildland fire protection, coastal, historic, or museum purposes",Bond,,"Recreation, park, wildlife habitat","$437,000,000","$437,000,000",,,no,Fail,47.081915947125%,52.918084052875%,,yes
CA,Cupertino,Municipal,11-06-1990,"25-year, 2.40 percent utility tax for the preservation of Blackberry Farm and other open space along with recreational facilities",Other,Utility Tax,"Open space, recreation","$62,500,000","$62,500,000","$62,500,000","$62,500,000",yes,Pass,77.16156758416%,22.83843241584%,Santa Clara County,yes
CA,Laguna Beach,Municipal,11-06-1990,"Bond to acquire lands in Laguna Canyon for open space, wetlands, and wildlife habitat",Bond,,"Open space, watershed protection. wildlife","$20,000,000","$20,000,000","$20,000,000","$20,000,000",yes,Pass,97.50765194578%,2.4923480542195%,,yes
CA,Pacific Grove,Municipal,11-06-1990,Bond to acquire land and construct a butterfly farm,Bond,,Habitat,"$1,230,000","$1,230,000","$1,230,000","$1,230,000",yes,Pass,68.87702121347%,31.12297878653%,Monterey County,yes
CO,Pitkin County,County,11-06-1990,"Question 1, 2.5 mill property tax levy along with bond issue for the purchase, improvement and maintenance of open space and trails",Property tax,,"Open space, trails","$15,000,000","$15,000,000","$15,000,000","$15,000,000",yes,Pass,55.490594814438%,44.509405185562%,Prop tax will be used to support bonds,yes
CT,Norwich,Municipal,11-06-1990,Bond for the purchase by the City of the Tarryk property ,Bond,,Open space,"$1,200,000","$1,200,000",,,no,Fail,33.311518324607%,66.688481675393%,,yes
CT,Mansfield,Municipal,11-06-1990,Bond for the acquisition of land for open space and recreational purposes,Bond,,"Open space, recreation","$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,58.893185113581%,41.106814886419%,,yes
CT,Cheshire,Municipal,11-06-1990,Bond for open space acquisiton,Bond,,Open space and recreation,"$1,000,000","$1,000,000",,,no,Fail,47.306743421053%,52.693256578947%,,yes
CT,Glastonbury,Municipal,11-06-1990,Bond for Land Acquisition,Bond,,Open Space,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,53.049549928493%,46.950450071507%,,yes
FL,Seminole County,County,11-06-1990,.25 mill property tax increase for land conservation,Property tax,,"Recreation, open space","$20,280,000","$20,280,000","$20,280,000","$20,280,000",yes,Pass,60.542264752791%,39.457735247209%,,yes
NC,Durham,Municipal,11-06-1990,Bond for open space and greenways,Bond,,"open space, greenways","$3,200,000","$3,200,000","$3,200,000","$3,200,000",yes,Pass,,,,yes
NC,Newton,Municipal,11-06-1990,Bond for acquiring and constructing new park and recreational facilities,Bond,,"Recreation, parks","$350,000",,"$350,000",,yes,Pass,58.69090909091%,41.30909090909%,Catawba County,yes
NC,Onslow County,County,11-06-1990,Bond for parks,Bond,,Parks,,,,,no,Fail,36.144497414893%,63.855502585107%,,yes
NJ,Atlantic County,County,11-06-1990,2 cents per $100 property tax increase for the establishment of an open space preservation trust fund,Property tax,,"Open space, parks, recreation","$88,538,904","$88,538,904","$88,538,904","$88,538,904",yes,Pass,,,,yes
NM,New Mexico,State,11-06-1990,Bond for land preservation,Bond,,"Open space, wildlife habitat","$225,000","$225,000",,,no,Fail,46.251295184845%,53.748704815155%,,yes
NV,Nevada,State,11-06-1990,"Question No.5-Bond for parks, wetlands and wildlife resources",Bond,,"wildlife habitat, parks","$47,200,000","$47,200,000","$47,200,000","$47,200,000",yes,Pass,65.965784648296%,34.034215351704%,,yes
OH,Delaware County Preservation Park District,County,11-06-1990,"10 years-(0.5) mill property tax, for acquiring , developing and operating lands for park purposes ",Property tax,,Parks,,,,,no,Fail,43.668463401297%,56.331536598703%,,yes
Ore,Gresham,Municipal,11-06-1990,Bond for open space acquisitions,Bond,,Open Space,"$10,285,000","$10,285,000","$10,285,000","$10,285,000",yes,Pass,59.473172381717%,40.526827618283%,Multnomah County,yes
Ore,Lake Oswego,Municipal,11-06-1990,Bond for parks and open space acquisition,Bond,,"Open space, recreation, parks, trails","$12,200,000","$5,600,000","$12,200,000","$5,600,000",yes,Pass,,,,yes
RI,Rhode Island,State,11-06-1990,"Agricultural Land Preservation Fund, bonds for puchaseing development rights",Bond,,Farmland,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,62.641397570556%,37.358602429444%,,yes
RI,Cranston,Municipal,11-06-1990,Bond for open space and recreation,Bond,,"Recreation, open space","$2,500,000","$500,000","$2,500,000","$500,000",yes,Pass,61.784952296606%,38.215047703394%,,yes
WA,Pierce County,County,11-06-1990,1 percent real estate excise tax for conservation. proposition 21,Real estate transfer tax,,Open space,,,,,no,Fail,35.375863334557%,64.624136665443%,,yes
WA,Thurston County,County,11-06-1990,Real estate excise tax for conservation,Real estate transfer tax,,Open space,,,,,no,Fail,35.912508544087%,64.087491455912%,,yes
WA,Jefferson County,County,11-06-1990,"10-year, 1 percent real estate excise tax",Real estate transfer tax,,"Open space, watershed protection, wildlife habitat",,,,,no,Fail,45.522481006352%,54.477518993648%,,yes
WA,King County,County,11-06-1990,"10-year, 1 percent real estate excise tax for the conservation of open space and natural areas",Real estate transfer tax,,Open space,"$100,000,000","$100,000,000",,,no,Fail,38.74595495178%,61.25404504822%,,yes
VA,Montgomery County,County,11-08-1990,Park and Recreation bonds,Bond,,"Recreation, parks","$1,200,000","$600,000",,,no,Fail,37.20098982678%,62.79901017322%,,yes
TX,Grand Prairie,Municipal,12-08-1990,Bond for parks,Bond,,Parks,"$5,000,000","$3,000,000",,,no,Fail,46.46533973919%,53.53466026081%,"Dallas, Ellis and Tarrant Counties",yes
FL,Palm Beach County,County,03-12-1991,"Bond to acquire, preserve and maintain environmentally sensitive lands, including the protection of wildlife. ",Bond,,"Open space, wildlife habitat","$100,000,000","$100,000,000","$100,000,000","$100,000,000",yes,Pass,66.513533823926%,33.486466176074%,,yes
VA,Loudoun County,County,03-12-1991,Open Space Preservation,Bond,,Open Space,"$5,000,000","$5,000,000",,,no,Fail,36.3044454423%,63.6955545577%,,yes
TX,Baytown,Municipal,05-04-1991,Goose Creek Stream and Park bonds,Bond,,Parks,"$1,800,000","$500,000","$1,800,000","$500,000",yes,Pass,66.518218623482%,33.481781376518%,,yes
TX,Arlington,Municipal,05-04-1991,Park and Recreation bonds,Bond,,"Recreation, parks","$20,000,000","$10,000,000","$20,000,000","$10,000,000",yes,Pass,54.91306638567%,45.08693361433%,,yes
TX,Baytown,Municipal,05-04-1991,"Proposition #3, Bonds for the purchase of a public marina",Bond,,"Recreation, parks","$4,700,000","$4,700,000","$4,700,000","$4,700,000",yes,Pass,58.859470468432%,41.140529531568%,,yes
PA,West Whiteland Township,Municipal,05-21-1991,Referendum 1: Bond for the acquisition of open space and future development of recreation facilities,Bond,,"Open space, recreation","$4,500,000","$4,500,000","$4,500,000","$4,500,000",yes,Pass,69.208633093525%,30.791366906475%,"Chester County, Referendum 1.",yes
PA,West Whiteland Township,Municipal,05-21-1991,Referendum 2: 7 mill property tax increase to  satisfy annual debt payments on Referendum 1's $4.5 million bond,Property tax,,"Open space, recreation",,,,,yes,Pass,53.57917570499%,46.42082429501%,"Chester County, Referendum 2 to support $4.5 million bond in Referendum 1",yes
CA,Los Angeles County,County,06-04-1991,Proposition B- Bond for recreational and cultural projects,Bond,,"Parks, trails","$817,000,000","$20,000,000",,,no,Fail,,,57% to 43%  2/3 vote needed,yes
FL,Boca Raton,Municipal,10-22-1991,Bond for environmentally sensitive land,Bond,,"Open space, wildlife habitat","$12,000,000","$9,000,000","$12,000,000","$9,000,000",yes,Pass,67.695700110254%,32.304299889746%,,yes
ME,Maine,State,11-01-1991,Bond for purchasing land ,Bond,,"Recreation, open space, wildlife habitat","$5,000,000","$5,000,000",,,no,Fail,42.896502251684%,57.103497748316%,,yes
AZ,Maricopa County,County,11-05-1991,Park and Recreation bonds,Bond,,"Recreation, parks","$40,855,000","$8,171,000",,,no,Fail,41.859650285747%,58.140349714253%,,yes
CO,Crested Butte,Municipal,11-05-1991,"1.5% real estate transfer tax for open space, wildlife and wetlands",Real estate transfer tax,,"Open space, watershed protection, wildlife habitat","$31,307,360","$31,307,360","$31,307,360","$31,307,360",yes,Pass,65.879265091864%,34.120734908136%,No ballot language available,yes
IL,DuPage County Forest Preserve District,County,11-05-1991,Bond to continue forest acquisitions,Bond,,"Open space, forests","$5,000,000","$5,000,000","$5,000,000","$5,000,000",yes,Pass,55.208207785947%,44.791792214053%,,yes
IL,Lake County Forest Preserve District,County,11-05-1991,Bond for open space land acquisition program,Bond,,Open space,"$45,000,000","$45,000,000",,,no,Fail,45.592831055386%,54.407168944614%,,yes
NC,Mecklenburg County,County,11-05-1991,Bonds for parks,Bond,,"Recreation, parks, greenways","$10,245,000","$5,000,000","$10,245,000","$5,000,000",yes,Pass,60.704038843522%,39.295961156478%,,yes
NY,Southold,Municipal,11-05-1991,Bond for acquisition of open space,Bond,,"Open space, farmland","$1,750,000","$1,750,000","$1,750,000","$1,750,000",yes,Pass,,,,yes
OH,Gates Mills,Municipal,11-05-1991,"5-year, one mill property tax for open space fund",Property tax,,Open space,"$1,000,000","$900,000","$1,000,000","$900,000",yes,Pass,50.73126142596%,49.26873857404%,,yes
Ore,Hillsboro,Municipal,11-05-1991,Bond for park acquisition,Bond,,"Parks, trails","$6,500,000","$6,500,000",,,no,Fail,48.813811948826%,51.186188051174%,,yes
IL,DuPage County Forest Preserve District,County,03-17-1992,Bond to purchase 90 acres of land known as Mayslake,Bond,,Open space,"$15,000,000","$15,000,000",,,no,Fail,48.42648555211%,51.57351444789%,,yes
TX,Grapevine,Municipal,03-28-1992,Park and Recreation bonds,Bond,,"Recreation, parks","$600,000","$200,000","$600,000","$200,000",yes,Pass,63.289869608826%,36.710130391174%,Tarrant County,yes
CA,Mission Viejo,Municipal,06-02-1992,Bond to acquire parcel of land for open space purposes,Bond,,Open space,"$2,000,000","$2,000,000",,,no,Fail,37.262885167021%,62.737114832979%,Orange County,yes
CA,Marin County Open Space District,Special District,06-02-1992,4-year parcel tax of $25/year,Other,Parcel Tax,"Open space, wildlife habitat, farmland","$8,000,000","$8,000,000",,,no,Fail,61.861177672153%,38.138822327847%,2/3 vote required,yes
CA,Orange ,Municipal,06-02-1992,"Measure Y, Bond issue for acquisition and improvement of public park lands",Bond,,Parks,"$25,000,000","$25,000,000",,,no,Fail,54.296435272045%,45.703564727955%,2/3 vote required,yes
CA,Santa Clara County,County,06-02-1992,"5-year, $1.5 cent per $100 property tax extension of Park Charter Fund",Other,Charter Amendment,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$45,000,000","$9,000,000","$45,000,000","$9,000,000",yes,Pass,61.141057420675%,38.858942579325%,"Measure A, 20% for acquisition, 80% for development operations and maintenance",yes
TX,Austin,Municipal,08-08-1992,Bond for the acquisition and improvement of land to protect water quality and endangered species,Bond,,"Watershed protection, wildlife habitat","$22,000,000","$22,000,000","$22,000,000","$22,000,000",yes,Pass,64.654043781235%,35.345956218765%,,yes
TX,Austin,Municipal,08-08-1992,Bond for the acquisition of land for water quality preservation in Greater Austin and environmental sensitive land in the Barton Springs Recharge Zone,Bond,,"Parks, watershed protection","$20,000,000","$20,000,000","$20,000,000","$20,000,000",yes,Pass,60.138009532617%,39.861990467383%,,yes
FL,Polk County,County,09-01-1992,"5-year, one cent sales tax partly for land acquisition, water, and wildlife preservation",Sales tax,,"Open space, wildlife habitat, watershed protection",,,,,no,Fail,49.587824984147%,50.412175015853%,,yes
